rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
16;12;980;57;327;-338;0.023536;0.017652;1.441578;8.550000;49.050002;-50.700002;9.612519;473.731992
-16;20;992;72;318;-336;-0.023536;0.029420;1.459230;10.800000;47.700002;-50.400002;9.731439;468.192268
-4;-12;976;109;282;-337;-0.005884;-0.017652;1.435694;16.350001;42.300002;-50.550002;9.572095;452.740544
-8;-24;972;123;256;-342;-0.011768;-0.035304;1.429810;18.450001;38.400002;-51.300002;9.535292;444.554834
12;-36;992;140;229;-341;0.017652;-0.052956;1.459230;21.000001;34.350001;-51.150002;9.735312;433.960828
-4;-4;992;154;197;-343;-0.005884;-0.005884;1.459230;23.100001;29.550001;-51.450002;9.728355;424.469080
-16;20;1000;169;143;-346;-0.023536;0.029420;1.470998;25.350001;21.450001;-51.900002;9.809866;410.762705
-8;-24;1000;167;108;-345;-0.011768;-0.035304;1.470998;25.050001;16.200001;-51.750002;9.809788;398.218533
-24;-16;1024;165;68;-342;-0.035304;-0.023536;1.506302;24.750001;10.200000;-51.300002;10.045993;385.762881
-16;-12;992;157;45;-342;-0.023536;-0.017652;1.459230;23.550001;6.750000;-51.300002;9.730174;378.996042
-24;0;1016;147;13;-344;-0.035304;0.000000;1.494534;22.050001;1.950000;-51.600002;9.966337;374.318047
-16;0;1000;141;9;-345;-0.023536;0.000000;1.470998;21.150001;1.350000;-51.750002;9.807905;372.809603
12;16;1004;138;3;-345;0.017652;0.023536;1.476882;20.700001;0.450000;-51.750002;9.847831;371.588482
0;-12;980;112;-36;-342;0.000000;-0.017652;1.441578;16.800001;-5.400000;-51.300002;9.611238;361.668356
0;-32;992;64;-85;-336;0.000000;-0.047072;1.459230;9.600000;-12.750001;-50.400002;9.733257;352.444322
-8;-20;984;12;-111;-335;-0.011768;-0.029420;1.447462;1.800000;-16.650001;-50.250002;9.652056;353.114712
-8;0;996;-34;-124;-334;-0.011768;0.000000;1.465114;-5.100000;-18.600001;-50.100002;9.767739;357.893839
-36;-16;988;-91;-127;-329;-0.052956;-0.023536;1.453346;-13.650001;-19.050001;-49.350002;9.696670;364.212850
-16;-4;996;-100;-133;-329;-0.023536;-0.005884;1.465114;-15.000001;-19.950001;-49.350002;9.768763;368.686859
-8;-24;988;-48;-132;-331;-0.011768;-0.035304;1.453346;-7.200000;-19.800001;-49.650002;9.692146;359.567796
-32;-8;1020;-14;-122;-333;-0.047072;-0.011768;1.500418;-2.100000;-18.300001;-49.950002;10.008013;354.921118
-16;0;992;40;-101;-336;-0.023536;0.000000;1.459230;6.000000;-15.150001;-50.400002;9.729462;353.124624
16;-8;996;84;-75;-340;0.023536;-0.011768;1.465114;12.600001;-11.250000;-51.000002;9.768999;358.163371
20;-4;992;108;-52;-339;0.029420;-0.005884;1.459230;16.200001;-7.800000;-50.850002;9.730253;359.567796
16;-8;984;116;-31;-340;0.023536;-0.011768;1.447462;17.400001;-4.650000;-51.000002;9.651338;360.578702
28;8;912;136;7;-346;0.041188;0.011768;1.341550;20.400001;1.050000;-51.900002;8.948224;371.834641
-40;-20;960;151;52;-349;-0.058840;-0.029420;1.412158;22.650001;7.800000;-52.350002;9.424595;383.804638
136;184;884;154;81;-349;0.200056;0.270664;1.300362;23.100001;12.150000;-52.350002;8.954756;389.971794
64;0;928;157;106;-350;0.094144;0.000000;1.365086;23.550001;15.900001;-52.500002;9.122188;397.976130
-16;-24;992;169;136;-346;-0.023536;-0.035304;1.459230;25.350001;20.400001;-51.900002;9.732309;408.378501
-8;-36;984;160;188;-344;-0.011768;-0.052956;1.447462;24.000001;28.200001;-51.600002;9.656519;423.414690
-16;-12;972;144;230;-342;-0.023536;-0.017652;1.429810;21.600001;34.500001;-51.300002;9.534082;436.577599
-44;16;1024;118;273;-336;-0.064724;0.023536;1.506302;17.700001;40.950002;-50.400002;10.052501;448.719289
-24;-20;1004;87;309;-332;-0.035304;-0.029420;1.476882;13.050001;46.350002;-49.800002;9.850643;461.815981
-36;4;976;45;339;-330;-0.052956;0.005884;1.435694;6.750000;50.850002;-49.500002;9.577880;475.232575
-40;-8;980;-19;358;-331;-0.058840;-0.011768;1.441578;-2.850000;53.700002;-49.650002;9.618840;487.940570
-56;-12;992;-40;367;-324;-0.082376;-0.017652;1.459230;-6.000000;55.050002;-48.600002;9.744396;491.187337
-24;0;1004;-64;369;-325;-0.035304;0.000000;1.476882;-9.600000;55.350002;-48.750002;9.848690;495.864901
-24;72;984;-106;375;-320;-0.035304;0.105912;1.447462;-15.900001;56.250002;-48.000002;9.678404;504.242997
36;64;956;-152;368;-319;0.052956;0.094144;1.406274;-22.800001;55.200002;-47.850002;9.402773;510.185260
-20;-8;1024;-184;362;-316;-0.029420;-0.011768;1.506302;-27.600001;54.300002;-47.400002;10.044232;514.544459
-48;16;996;-204;352;-314;-0.070608;0.023536;1.465114;-30.600001;52.800002;-47.100002;9.780018;513.922173
40;-16;932;-234;342;-312;0.058840;-0.023536;1.370970;-35.100001;51.300002;-46.800002;9.149558;518.713794
-68;0;1112;-266;318;-311;-0.100028;0.000000;1.635749;-39.900002;47.700002;-46.650002;10.925366;518.267306
-76;44;1008;-288;295;-307;-0.111796;0.064724;1.482766;-43.200002;44.250002;-46.050002;9.922547;514.021400
-4;0;988;-300;272;-308;-0.005884;0.000000;1.453346;-45.000002;40.800002;-46.200002;9.689050;508.771068
-36;-12;1004;-315;249;-311;-0.052956;-0.017652;1.476882;-47.250002;37.350001;-46.650002;9.852908;507.884829
-36;-12;1024;-325;214;-312;-0.052956;-0.017652;1.506302;-48.750002;32.100001;-46.800002;10.048903;498.763471
-64;-40;988;-330;195;-314;-0.094144;-0.058840;1.453346;-49.500002;29.250001;-47.100002;9.717198;495.500757
-28;-40;996;-332;178;-313;-0.041188;-0.058840;1.465114;-49.800002;26.700001;-46.950002;9.779153;489.772396
-12;4;992;-348;139;-312;-0.017652;0.005884;1.459230;-52.200002;20.850001;-46.800002;9.728988;487.615627
0;36;900;-346;83;-311;0.000000;0.052956;1.323898;-51.900002;12.450000;-46.650002;8.833044;472.573804
-16;-12;948;-332;28;-312;-0.023536;-0.017652;1.394506;-49.800002;4.200000;-46.800002;9.298774;456.455912
-100;48;1024;-312;-13;-313;-0.147100;0.070608;1.506302;-46.800002;-1.950000;-46.950002;10.100755;442.133464
-68;28;1160;-284;-62;-311;-0.100028;0.041188;1.706357;-42.600002;-9.300000;-46.650002;11.398552;425.700599
-32;20;1016;-214;-111;-321;-0.047072;0.029420;1.494534;-32.100001;-16.650001;-48.150002;9.970427;401.444890
