rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-48;60;992;100;233;-380;-1179434.071866;1474292.608583;24374972.168574;15.000001;34.950001;-57.000002;162986546.703591;456.824912
60;232;1024;72;263;-381;1474292.608583;5700597.826521;25161260.199819;10.800000;39.450002;-57.150002;172273595.842285;468.523212
44;68;984;52;281;-383;1081147.917961;1670864.916394;24178397.760763;7.800000;42.150002;-57.450002;161734424.548783;477.863997
-36;32;1012;27;296;-385;-884575.535150;786289.381244;24866400.988102;4.050000;44.400002;-57.750002;165963660.509311;486.384621
12;12;1004;1;303;-382;294858.517967;294858.517967;24669828.980291;0.150000;45.450002;-57.300002;164489013.024106;487.579737
4;32;960;-23;312;-380;98286.172656;786289.381244;23588681.737330;-3.450000;46.800002;-57.000002;157346577.549502;492.212353
-88;52;1056;-38;318;-380;-2162295.835922;1277720.300772;25947550.631063;-5.700000;47.700002;-57.000002;173792139.215173;496.958751
-40;56;1040;-62;321;-375;-982861.764055;1376006.454678;25554404.215441;-9.300000;48.150002;-56.250002;170735264.038476;497.503769
-4;4;980;-88;325;-371;-98286.172656;98286.172656;24080112.956858;-13.200001;48.750002;-55.650002;160536754.431221;501.008982
-8;40;880;-129;324;-367;-196572.345311;982861.764055;21622959.259219;-19.350001;48.600002;-55.050002;144307848.069092;506.266728
-52;40;984;-154;317;-365;-1277720.300772;982861.764055;24178397.760763;-23.100001;47.550002;-54.750002;161547166.559420;507.375601
-40;60;972;-176;312;-362;-982861.764055;1474292.608583;23883540.949047;-26.400001;46.800002;-54.300002;159661174.383624;509.277920
-16;-4;920;-199;300;-364;-393144.690622;-98286.172656;22605819.298275;-29.850001;45.000002;-54.600002;150729669.488160;511.954100
-4;52;940;-224;289;-363;-98286.172656;1277720.300772;23097250.517802;-33.600001;43.350002;-54.450002;154218484.018677;515.233927
-16;32;984;-249;275;-362;-393144.690622;786289.381244;24178397.760763;-37.350001;41.250002;-54.300002;161295820.087145;518.333869
-16;12;980;-263;259;-363;-393144.690622;294858.517967;24080112.956858;-39.450002;38.850002;-54.450002;160567507.188546;517.705515
-28;44;984;-290;231;-359;-688003.227339;1081147.917961;24178397.760763;-43.500002;34.650001;-53.850002;161415557.690092;516.083327
-40;60;976;-307;209;-354;-982861.764055;1474292.608583;23981825.752952;-46.050002;31.350001;-53.100002;160314617.955701;513.075043
-72;88;1020;-315;191;-353;-1769151.070300;2162295.835922;25062975.395913;-47.250002;28.650001;-52.950002;168121398.459080;510.210741
-44;40;996;-313;193;-358;-1081147.917961;982861.764055;24473256.972480;-46.950002;28.950001;-53.700002;163445561.054523;513.207560
-36;48;992;-314;189;-357;-884575.535150;1179434.071866;24374972.168574;-47.100002;28.350001;-53.550002;162796773.027717;511.630726
-40;56;984;-312;190;-355;-982861.764055;1376006.454678;24178397.760763;-46.800002;28.500001;-53.250002;161583041.272084;509.380997
