rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
728;-16;-696;-565;37;169;0.108408;-0.002383;-0.103643;-0.143427;0.009393;0.042901;9.878252;590.893391
724;52;-548;-571;37;109;0.119407;0.008576;-0.090380;-0.147042;0.009528;0.028069;8.919115;582.486910
980;56;-256;-553;10;-30;0.144909;0.008280;-0.037854;-0.149755;0.002708;-0.008124;9.948179;553.903421
932;156;-40;-497;-9;-139;0.147810;0.024741;-0.006344;-0.144435;-0.002616;-0.040395;9.275246;516.150172
912;128;240;-436;-18;-215;0.143743;0.020174;0.037827;-0.134440;-0.005550;-0.066295;9.332964;486.461715
832;112;380;-372;-30;-271;0.135431;0.018231;0.061855;-0.120983;-0.009757;-0.088136;9.036859;461.221205
736;120;612;-280;-33;-323;0.114440;0.018659;0.095159;-0.097961;-0.011545;-0.113006;9.460445;428.740014
640;128;704;-177;-20;-366;0.100000;0.020000;0.110000;-0.065226;-0.007370;-0.134875;9.414385;407.044224
388;40;944;-49;7;-387;0.056980;0.005874;0.138632;-0.018839;0.002691;-0.148788;10.016619;390.152534
172;-128;984;61;47;-389;0.025618;-0.019065;0.146561;0.023074;0.017778;-0.147145;9.876149;396.548862
256;-76;872;71;19;-382;0.042106;-0.012500;0.143425;0.027377;0.007326;-0.147298;8.943407;389.006427
132;-24;1000;83;14;-379;0.019624;-0.003568;0.148668;0.032068;0.005409;-0.146432;9.894516;388.234465
116;0;1016;93;3;-378;0.017015;0.000000;0.149032;0.035835;0.001156;-0.145652;10.028287;389.283958
164;-92;968;80;11;-379;0.024947;-0.013995;0.147247;0.030967;0.004258;-0.146707;9.670292;387.507419
-60;56;1020;141;-27;-357;-0.008795;0.008209;0.149517;0.054966;-0.010525;-0.139169;10.035113;384.784355
-132;8;980;209;-2;-334;-0.020023;0.001213;0.148653;0.079567;-0.000761;-0.127155;9.697622;394.006345
-172;-60;976;224;15;-328;-0.025986;-0.009065;0.147454;0.084534;0.005661;-0.123782;9.736577;397.473270
-528;-16;948;336;4;-235;-0.072979;-0.002211;0.131031;0.122913;0.001463;-0.085966;10.642561;410.045119
-672;-56;796;406;15;-137;-0.096623;-0.008052;0.114452;0.142039;0.005248;-0.047930;10.230626;428.754009
-768;-60;656;433;25;-86;-0.113855;-0.008895;0.097251;0.146891;0.008481;-0.029175;9.922469;442.165128
-748;-52;688;430;26;-87;-0.110257;-0.007665;0.101413;0.146763;0.008874;-0.029694;9.979451;439.482650
-772;-52;632;433;25;-72;-0.115909;-0.007807;0.094890;0.147729;0.008529;-0.024565;9.797388;439.656684
-608;4;848;426;26;-93;-0.087403;0.000575;0.121904;0.146289;0.008928;-0.031936;10.232732;436.807738
-648;-56;744;375;15;-191;-0.098359;-0.008500;0.112930;0.133577;0.005343;-0.068035;9.691114;421.106875
-348;-152;880;313;18;-262;-0.054463;-0.023789;0.137724;0.114910;0.006608;-0.096187;9.399090;408.579246
-200;-72;920;202;26;-339;-0.031772;-0.011438;0.146150;0.076617;0.009862;-0.128579;9.259805;395.475663
8;-76;1032;143;29;-363;0.001160;-0.011016;0.149590;0.054827;0.011119;-0.139177;10.148173;391.227555
-12;-84;948;170;15;-348;-0.001891;-0.013238;0.149403;0.065791;0.005805;-0.134677;9.333871;387.593860
-352;-40;964;285;31;-286;-0.051410;-0.005842;0.140794;0.105569;0.011483;-0.105940;10.071769;404.946910
-464;-100;888;365;36;-208;-0.069123;-0.014897;0.132288;0.129848;0.012807;-0.073996;9.874280;421.645586
-648;-108;764;402;31;-149;-0.096467;-0.016078;0.113735;0.140283;0.010818;-0.051996;9.881212;429.844158
-700;-44;736;417;22;-122;-0.103278;-0.006492;0.108589;0.143781;0.007586;-0.042065;9.970196;435.036780
-556;-36;820;376;15;-187;-0.084125;-0.005447;0.124070;0.134221;0.005355;-0.066754;9.722106;420.202332
-328;40;948;245;-4;-305;-0.049007;0.005976;0.141642;0.093933;-0.001534;-0.116937;9.845252;391.236501
-132;12;980;203;-2;-335;-0.020022;0.001820;0.148647;0.077736;-0.000766;-0.128283;9.698019;391.711629
-192;-16;944;212;4;-330;-0.029892;-0.002491;0.146970;0.081071;0.001530;-0.126195;9.448320;392.249920
-168;-20;976;209;2;-331;-0.025440;-0.003029;0.147796;0.080083;0.000766;-0.126831;9.714031;391.466474
-156;-16;976;212;4;-331;-0.023672;-0.002428;0.148100;0.080897;0.001526;-0.126306;9.694051;393.091592
-164;-20;968;211;5;-331;-0.025051;-0.003055;0.147862;0.080624;0.001911;-0.126476;9.630111;392.564644
-160;-12;960;206;3;-330;-0.024658;-0.001849;0.147948;0.079428;0.001157;-0.127239;9.544970;389.030847
-160;-28;968;209;4;-332;-0.024452;-0.004279;0.147932;0.079908;0.001529;-0.126935;9.625556;392.327669
-156;-24;964;210;2;-334;-0.023955;-0.003685;0.148029;0.079840;0.000760;-0.126984;9.579487;394.537704
